"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Duration","Growth Habit"
"ABIES","","ABIES","Abies","",""
"ABCO","","ABCO","Abies concolor","Perennial","Tree"
"ABGR","","ABGR","Abies grandis","Perennial","Tree"
"ABLA","","ABLA","Abies lasiocarpa","Perennial","Tree"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","Perennial","Tree"
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","Perennial","Tree"
"ABRON","","ABRON","Abronia","",""
"ABAN","","ABAN","Abronia angustifolia","Annual, Perennial","Forb/herb"
"ABBI","","ABBI","Abronia bigelovii","Perennial","Forb/herb"
"ABBO","","ABBO","Abronia bolackii","Perennial","Forb/herb"
"ABCA","","ABCA","Abronia carletonii","Perennial","Forb/herb"
"ABEL","","ABEL","Abronia elliptica","Perennial","Forb/herb"
"ABFR2","","ABFR2","Abronia fragrans","Perennial","Forb/herb"
"ABME","","ABME","Abronia mellifera","Perennial","Forb/herb"
"ABNA","","ABNA","Abronia nana","Perennial","Forb/herb"
"ABNAH","","ABNAH","Abronia nana var. harrisii","Perennial","Forb/herb"
"ABUTI","","ABUTI","Abutilon","",""
"ABIN","","ABIN","Abutilon incanum","Perennial","Subshrub, Forb/herb"
"ABMA3","","ABMA3","Abutilon malacum","Perennial","Subshrub, Forb/herb"
"ABMO2","","ABMO2","Abutilon mollicomum","Perennial","Subshrub, Shrub, Forb/herb"
"ABPA3","","ABPA3","Abutilon parvulum","Perennial","Subshrub, Forb/herb"
"ABTH","","ABTH","Abutilon theophrasti","Annual","Forb/herb"
"ABWR","","ABWR","Abutilon wrightii","Perennial","Subshrub, Forb/herb"
"ACALY","","ACALY","Acalypha","",""
"ACNE","","ACNE","Acalypha neomexicana","Annual","Forb/herb"
"ACOS","","ACOS","Acalypha ostryifolia","Annual","Forb/herb"
"ACPH3","","ACPH3","Acalypha phleoides","Perennial","Forb/herb, Subshrub"
"ACARO2","","ACARO2","Acarospora","",""
"ACSC5","","ACSC5","Acarospora schleicheri","","Lichenous"
"ACER","","ACER","Acer","",""
"ACGL","","ACGL","Acer glabrum","Perennial","Tree, Shrub"
"ACGLD4","","ACGLD4","Acer glabrum var. douglasii","Perennial","Tree, Shrub"
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","Perennial","Tree, Shrub"
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","Perennial","Tree, Shrub"
"ACGR3","","ACGR3","Acer grandidentatum","Perennial","Tree, Shrub"
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","Perennial","Tree, Shrub"
"ACGRS","","ACGRS","Acer grandidentatum var. sinuosum","Perennial","Tree, Shrub"
"ACNE2","","ACNE2","Acer negundo","Perennial","Tree"
"ACNEA","","ACNEA","Acer negundo var. arizonicum","Perennial","Tree"
"ACNEI2","","ACNEI2","Acer negundo var. interius","Perennial","Tree"
"ACNET","","ACNET","Acer negundo var. texanum","Perennial","Tree"
"ACNEV","","ACNEV","Acer negundo var. violaceum","Perennial","Tree"
"ACPL","","ACPL","Acer platanoides","Perennial","Tree"
"ACSA2","","ACSA2","Acer saccharinum","Perennial","Tree"
"ACHIL","","ACHIL","Achillea","",""
"ACMI2","","ACMI2","Achillea millefolium","Perennial","Forb/herb"
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","Perennial","Forb/herb"
"ACMIC","","ACMIC","Achillea millefolium var. californica","Perennial","Forb/herb"
"ACMIM2","","ACMIM2","Achillea millefolium var. millefolium","Perennial","Forb/herb"
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","Perennial","Forb/herb"
"ACMIP","","ACMIP","Achillea millefolium var. pacifica","Perennial","Forb/herb"
"ACPT","","ACPT","Achillea ptarmica","Perennial","Forb/herb"
"ACHNA","","ACHNA","Achnatherum","",""
"ACAR14","","ACAR14","Achnatherum aridum","Perennial","Graminoid"
"ACBL","","ACBL","Achnatherum ×bloomeri","Perennial","Graminoid"
"ACCU6","","ACCU6","Achnatherum curvifolium","Perennial","Graminoid"
"ACEM4","","ACEM4","Achnatherum eminens","Perennial","Graminoid"
"ACHE10","","ACHE10","Achnatherum hendersonii","Perennial","Graminoid"
"ACHY","","ACHY","Achnatherum hymenoides","Perennial","Graminoid"
"ACLE8","","ACLE8","Achnatherum lemmonii","Perennial","Graminoid"
"ACLEL","","ACLEL","Achnatherum lemmonii var. lemmonii","Perennial","Graminoid"
"ACLE9","","ACLE9","Achnatherum lettermanii","Perennial","Graminoid"
"ACLO7","","ACLO7","Achnatherum lobatum","Perennial","Graminoid"
"ACNE9","","ACNE9","Achnatherum nelsonii","Perennial","Graminoid"
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","Perennial","Graminoid"
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","Perennial","Graminoid"
"ACNE10","","ACNE10","Achnatherum nevadense","Perennial","Graminoid"
"ACOC3","","ACOC3","Achnatherum occidentale","Perennial","Graminoid"
"ACOCC","","ACOCC","Achnatherum occidentale ssp. californicum","Perennial","Graminoid"
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","Perennial","Graminoid"
"ACPE13","","ACPE13","Achnatherum perplexum","Perennial","Graminoid"
"ACPI2","","ACPI2","Achnatherum pinetorum","Perennial","Graminoid"
"ACRI8","","ACRI8","Achnatherum richardsonii","Perennial","Graminoid"
"ACRO7","","ACRO7","Achnatherum robustum","Perennial","Graminoid"
"ACSC11","","ACSC11","Achnatherum scribneri","Perennial","Graminoid"
"ACSP12","","ACSP12","Achnatherum speciosum","Perennial","Graminoid"
"ACSW3","","ACSW3","Achnatherum swallenii","Perennial","Graminoid"
"ACTH7","","ACTH7","Achnatherum thurberianum","Perennial","Graminoid"
"ACWE3","","ACWE3","Achnatherum webberi","Perennial","Graminoid"
"ACINO","","ACINO","Acinos","",""
"ACAR2","","ACAR2","Acinos arvensis","Annual, Perennial","Forb/herb"
"ACLEI","","ACLEI","Acleisanthes","",""
"ACLO2","","ACLO2","Acleisanthes longiflora","Perennial","Subshrub, Forb/herb"
"ACONI","","ACONI","Aconitum","",""
"ACCO4","","ACCO4","Aconitum columbianum","Perennial","Forb/herb"
"ACCOC3","","ACCOC3","Aconitum columbianum ssp. columbianum","Perennial","Forb/herb"
"ACORU","","ACORU","Acorus","",""
"ACAM","","ACAM","Acorus americanus","Perennial","Forb/herb"
"ACOUR","","ACOUR","Acourtia","",""
"ACNA2","","ACNA2","Acourtia nana","Perennial","Forb/herb"
"ACTH","","ACTH","Acourtia thurberi","Perennial","Forb/herb"
"ACWR5","","ACWR5","Acourtia wrightii","Perennial","Forb/herb"
"ACROP","","ACROP","Acroptilon","",""
"ACRE3","","ACRE3","Acroptilon repens","Perennial","Forb/herb"
"ACTAE","","ACTAE","Actaea","",""
"ACRU2","","ACRU2","Actaea rubra","Perennial","Forb/herb"
"ACRUA8","","ACRUA8","Actaea rubra ssp. arguta","Perennial","Forb/herb"
"ADENO","","ADENO","Adenocaulon","",""
"ADBI","","ADBI","Adenocaulon bicolor","Perennial","Forb/herb"
"ADENO5","","ADENO5","Adenophyllum","",""
"ADWR","","ADWR","Adenophyllum wrightii","Annual","Forb/herb"
"ADIAN","","ADIAN","Adiantum","",""
"ADAL","","ADAL","Adiantum aleuticum","Perennial","Forb/herb"
"ADCA","","ADCA","Adiantum capillus-veneris","Perennial","Forb/herb"
"ADOLP","","ADOLP","Adolphia","",""
"ADIN","","ADIN","Adolphia infesta","Perennial","Shrub"
"ADONI","","ADONI","Adonis","",""
"ADAE","","ADAE","Adonis aestivalis","Annual","Forb/herb"
"ADAN","","ADAN","Adonis annua","Annual","Forb/herb"
"ADOXA","","ADOXA","Adoxa","",""
"ADMO","","ADMO","Adoxa moschatellina","Perennial","Forb/herb"
"AEGIL","","AEGIL","Aegilops","",""
"AECY","","AECY","Aegilops cylindrica","Annual","Graminoid"
"AEGOP","","AEGOP","Aegopodium","",""
"AEPO","","AEPO","Aegopodium podagraria","Perennial","Forb/herb"
"AETHU","","AETHU","Aethusa","",""
"AECY2","","AECY2","Aethusa cynapium","Annual","Forb/herb"
"AGALI","","AGALI","Agalinis","",""
"AGCA7","","AGCA7","Agalinis calycina","Annual","Forb/herb"
"AGTE3","","AGTE3","Agalinis tenuifolia","Annual","Forb/herb"
"AGTEP2","","AGTEP2","Agalinis tenuifolia var. parviflora","Annual","Forb/herb"
"AGAST","","AGAST","Agastache","",""
"AGBR","","AGBR","Agastache breviflora","Perennial","Subshrub, Forb/herb"
"AGCA","","AGCA","Agastache cana","Perennial","Subshrub, Forb/herb"
"AGCU","","AGCU","Agastache cusickii","Perennial","Subshrub, Forb/herb"
"AGME2","","AGME2","Agastache mearnsii","Perennial","Subshrub, Forb/herb"
"AGMI","","AGMI","Agastache micrantha","Perennial","Subshrub, Forb/herb"
"AGPA","","AGPA","Agastache pallidiflora","Perennial","Subshrub, Forb/herb"
"AGPAN","","AGPAN","Agastache pallidiflora ssp. neomexicana","Perennial","Subshrub, Forb/herb"
"AGPAH3","","AGPAH3","Agastache pallidiflora ssp. neomexicana var. havardii","Perennial","Subshrub, Forb/herb"
"AGPAN2","","AGPAN2","Agastache pallidiflora ssp. neomexicana var. neomexicana","Perennial","Subshrub, Forb/herb"
"AGPAP2","","AGPAP2","Agastache pallidiflora ssp. pallidiflora","Perennial","Subshrub, Forb/herb"
"AGPAG3","","AGPAG3","Agastache pallidiflora ssp. pallidiflora var. gilensis","Perennial","Subshrub, Forb/herb"
"AGPAG4","","AGPAG4","Agastache pallidiflora ssp. pallidiflora var. greenei","Perennial","Subshrub, Forb/herb"
"AGPAP4","","AGPAP4","Agastache pallidiflora ssp. pallidiflora var. pallidiflora","Perennial","Subshrub, Forb/herb"
"AGPR3","","AGPR3","Agastache pringlei","Perennial","Subshrub, Forb/herb"
"AGPRV","","AGPRV","Agastache pringlei var. verticillata","Perennial","Subshrub, Forb/herb"
"AGRU","","AGRU","Agastache rupestris","Perennial","Subshrub, Forb/herb"
"AGUR","","AGUR","Agastache urticifolia","Perennial","Subshrub, Forb/herb"
"AGURU","","AGURU","Agastache urticifolia var. urticifolia","Perennial","Subshrub, Forb/herb"
"AGWR","","AGWR","Agastache wrightii","Perennial","Subshrub, Forb/herb"
"AGAVE","","AGAVE","Agave","",""
"AGGR4","","AGGR4","Agave gracilipes","Perennial","Subshrub, Shrub, Forb/herb"
"AGLE","","AGLE","Agave lechuguilla","Perennial","Subshrub, Shrub, Forb/herb"
"AGPA3","","AGPA3","Agave palmeri","Perennial","Subshrub, Shrub, Forb/herb"
"AGPA4","","AGPA4","Agave parryi","Perennial","Subshrub, Shrub, Forb/herb"
"AGPAN6","","AGPAN6","Agave parryi ssp. neomexicana","Perennial","Shrub, Forb/herb, Subshrub"
"AGPAP5","","AGPAP5","Agave parryi ssp. parryi","Perennial","Shrub, Forb/herb, Subshrub"
"AGSC3","","AGSC3","Agave schottii","Perennial","Subshrub, Shrub, Forb/herb"
"AGSCS2","","AGSCS2","Agave schottii var. schottii","Perennial","Subshrub, Shrub, Forb/herb"
"AGERA2","","AGERA2","Ageratina","",""
"AGHE5","","AGHE5","Ageratina herbacea","Perennial","Subshrub, Forb/herb"
"AGOC2","","AGOC2","Ageratina occidentalis","Perennial","Subshrub, Forb/herb"
"AGRO5","","AGRO5","Ageratina rothrockii","Perennial","Subshrub, Forb/herb"
"AGWR2","","AGWR2","Ageratina wrightii","Perennial","Subshrub, Shrub"
"AGERA","","AGERA","Ageratum","",""
"AGCO2","","AGCO2","Ageratum corymbosum","Perennial","Subshrub, Forb/herb"
"AGOSE","","AGOSE","Agoseris","",""
"AGAU2","","AGAU2","Agoseris aurantiaca","Perennial","Subshrub, Forb/herb"
"AGAUA","","AGAUA","Agoseris aurantiaca var. aurantiaca","Perennial","Subshrub, Forb/herb"
"AGAUP","","AGAUP","Agoseris aurantiaca var. purpurea","Perennial","Subshrub, Forb/herb"
"AGGL","","AGGL","Agoseris glauca","Perennial","Forb/herb, Shrub, Subshrub"
"AGGLA","","AGGLA","Agoseris glauca var. agrestis","Perennial","Forb/herb"
"AGGLD","","AGGLD","Agoseris glauca var. dasycephala","Perennial","Forb/herb"
"AGGLG","","AGGLG","Agoseris glauca var. glauca","Perennial","Forb/herb"
"AGGLL","","AGGLL","Agoseris glauca var. laciniata","Perennial","Forb/herb, Shrub, Subshrub"
"AGGLM","","AGGLM","Agoseris glauca var. monticola","Perennial","Forb/herb"
"AGGR","","AGGR","Agoseris grandiflora","Perennial","Forb/herb"
"AGHE2","","AGHE2","Agoseris heterophylla","Annual","Forb/herb"
"AGHEH","","AGHEH","Agoseris heterophylla var. heterophylla","Annual","Forb/herb"
"AGLA9","","AGLA9","Agoseris lackschewitzii","Perennial","Forb/herb"
"AGRE","","AGRE","Agoseris retrorsa","Perennial","Forb/herb"
"AGRIM","","AGRIM","Agrimonia","",""
"AGGR2","","AGGR2","Agrimonia gryposepala","Perennial","Forb/herb"
"AGST","","AGST","Agrimonia striata","Perennial","Forb/herb"
"AGROP3","","AGROP3","×Agropogon","",""
"AGLI","","AGLI","×Agropogon littoralis","Perennial","Graminoid"
"AGROP2","","AGROP2","Agropyron","",""
"AGCR","","AGCR","Agropyron cristatum","Perennial","Graminoid"
"AGCRC","","AGCRC","Agropyron cristatum ssp. cristatum","Perennial","Graminoid"
"AGCRP8","","AGCRP8","Agropyron cristatum ssp. pectinatum","Perennial","Graminoid"
"AGDE2","","AGDE2","Agropyron desertorum","Perennial","Graminoid"
"AGFR","","AGFR","Agropyron fragile","Perennial","Graminoid"
"AGROS","","AGROS","Agrostemma","",""
"AGGI","","AGGI","Agrostemma githago","Annual","Forb/herb"
"AGROS2","","AGROS2","Agrostis","",""
"AGCA5","","AGCA5","Agrostis capillaris","Perennial","Graminoid"
"AGEL4","","AGEL4","Agrostis elliottiana","Annual","Graminoid"
"AGEX","","AGEX","Agrostis exarata","Perennial","Graminoid"
"AGGI2","","AGGI2","Agrostis gigantea","Perennial","Graminoid"
"AGHU","","AGHU","Agrostis humilis","Perennial","Graminoid"
"AGID","","AGID","Agrostis idahoensis","Perennial","Graminoid"
"AGOR","","AGOR","Agrostis oregonensis","Perennial","Graminoid"
"AGPA8","","AGPA8","Agrostis pallens","Perennial","Graminoid"
"AGSC5","","AGSC5","Agrostis scabra","Perennial","Graminoid"
"AGST2","","AGST2","Agrostis stolonifera","Perennial","Graminoid"
"AGVA","","AGVA","Agrostis variabilis","Perennial","Graminoid"
"AILAN","","AILAN","Ailanthus","",""
"AIAL","","AIAL","Ailanthus altissima","Perennial","Tree"
"AIRA","","AIRA","Aira","",""
"AICA","","AICA","Aira caryophyllea","Annual","Graminoid"
"AICAC2","","AICAC2","Aira caryophyllea var. caryophyllea","Annual","Graminoid"
"AIEL4","","AIEL4","Aira elegans","Annual","Graminoid"
"ALBIZ","","ALBIZ","Albizia","",""
"ALJU","","ALJU","Albizia julibrissin","Perennial","Tree, Shrub"
"ALCEA","","ALCEA","Alcea","",""
"ALRO3","","ALRO3","Alcea rosea","Biennial, Perennial","Forb/herb"
"ALCHE","","ALCHE","Alchemilla","",""
"ALMO4","","ALMO4","Alchemilla monticola","Perennial","Forb/herb"
"ALETE","","ALETE","Aletes","",""
"ALAC2","","ALAC2","Aletes acaulis","Perennial","Forb/herb"
"ALFI3","","ALFI3","Aletes filifolius","Perennial","Subshrub, Forb/herb"
"ALMA3","","ALMA3","Aletes macdougalii","Perennial","Forb/herb"
"ALMAB","","ALMAB","Aletes macdougalii ssp. breviradiatus","Perennial","Forb/herb"
"ALMAM","","ALMAM","Aletes macdougalii ssp. macdougalii","Perennial","Forb/herb"
"ALSE5","","ALSE5","Aletes sessiliflorus","Perennial","Forb/herb"
"ALHAG","","ALHAG","Alhagi","",""
"ALMA12","","ALMA12","Alhagi maurorum","Perennial","Shrub"
"ALICI","","ALICI","Aliciella","",""
"ALFO3","","ALFO3","Aliciella formosa","Biennial, Perennial","Forb/herb"
"ALHA6","","ALHA6","Aliciella haydenii","Annual, Biennial","Forb/herb"
"ALLE7","","ALLE7","Aliciella leptomeria","Annual","Forb/herb"
"ALLO6","","ALLO6","Aliciella lottiae","Annual","Forb/herb"
"ALMC","","ALMC","Aliciella mcvickerae","Annual, Biennial","Forb/herb"
"ALPI2","","ALPI2","Aliciella pinnatifida","Annual, Biennial, Perennial","Forb/herb"
"ALSU9","","ALSU9","Aliciella subnuda","Biennial, Perennial","Forb/herb"
"ALTR14","","ALTR14","Aliciella triodon","Annual","Forb/herb"
"ALISM","","ALISM","Alisma","",""
"ALGR","","ALGR","Alisma gramineum","Perennial","Forb/herb"
"ALSU","","ALSU","Alisma subcordatum","Perennial","Forb/herb"
"ALTR7","","ALTR7","Alisma triviale","Perennial","Forb/herb"
"ALLEN","","ALLEN","Allenrolfea","",""
"ALOC2","","ALOC2","Allenrolfea occidentalis","Perennial","Subshrub, Shrub"
"ALLIA","","ALLIA","Alliaria","",""
"ALPE4","","ALPE4","Alliaria petiolata","Annual, Biennial","Forb/herb"
"ALLIO","","ALLIO","Allionia","",""
"ALCH","","ALCH","Allionia choisyi","Annual, Perennial","Forb/herb"
"ALIN","","ALIN","Allionia incarnata","Annual, Perennial","Forb/herb"
"ALINI","","ALINI","Allionia incarnata var. incarnata","Perennial","Forb/herb"
"ALINV2","","ALINV2","Allionia incarnata var. villosa","Annual, Perennial","Forb/herb"
"ALLIU","","ALLIU","Allium","",""
"ALAA","","ALAA","Allium aaseae","Perennial","Forb/herb"
"ALAC4","","ALAC4","Allium acuminatum","Perennial","Forb/herb"
"ALAN","","ALAN","Allium anceps","Perennial","Forb/herb"
"ALBI","","ALBI","Allium bigelovii","Perennial","Forb/herb"
"ALBI2","","ALBI2","Allium bisceptrum","Perennial","Forb/herb"
"ALBIB","","ALBIB","Allium bisceptrum var. bisceptrum","Perennial","Forb/herb"
"ALBIP","","ALBIP","Allium bisceptrum var. palmeri","Perennial","Forb/herb"
"ALBR","","ALBR","Allium brandegeei","Perennial","Forb/herb"
"ALBR2","","ALBR2","Allium brevistylum","Perennial","Forb/herb"
"ALCE2","","ALCE2","Allium cernuum","Perennial","Forb/herb"
"ALCEC2","","ALCEC2","Allium cernuum var. cernuum","Perennial","Forb/herb"
"ALCEN","","ALCEN","Allium cernuum var. neomexicanum","Perennial","Forb/herb"
"ALCEO","","ALCEO","Allium cernuum var. obtusum","Perennial","Forb/herb"
"ALCO2","","ALCO2","Allium columbianum","Perennial","Forb/herb"
"ALDO","","ALDO","Allium douglasii","Perennial","Forb/herb"
"ALDR","","ALDR","Allium drummondii","Perennial","Forb/herb"
"ALFI","","ALFI","Allium fibrillum","Perennial","Forb/herb"
"ALGE","","ALGE","Allium geyeri","Perennial","Forb/herb"
"ALGEG","","ALGEG","Allium geyeri var. geyeri","Perennial","Forb/herb"
"ALGET","","ALGET","Allium geyeri var. tenerum","Perennial","Forb/herb"
"ALGL","","ALGL","Allium glandulosum","Perennial","Forb/herb"
"ALGO","","ALGO","Allium gooddingii","Perennial","Forb/herb"
"ALKU","","ALKU","Allium kunthii","Perennial","Forb/herb"
"ALLE3","","ALLE3","Allium lemmonii","Perennial","Forb/herb"
"ALMA4","","ALMA4","Allium macropetalum","Perennial","Forb/herb"
"ALMA6","","ALMA6","Allium madidum","Perennial","Forb/herb"
"ALNE","","ALNE","Allium nevadense","Perennial","Forb/herb"
"ALPA3","","ALPA3","Allium parvum","Perennial","Forb/herb"
"ALPE2","","ALPE2","Allium perdulce","Perennial","Forb/herb"
"ALPEP","","ALPEP","Allium perdulce var. perdulce","Perennial","Forb/herb"
"ALSC","","ALSC","Allium schoenoprasum","Perennial","Forb/herb"
"ALSCS2","","ALSCS2","Allium schoenoprasum var. schoenoprasum","Perennial","Forb/herb"
"ALSI","","ALSI","Allium simillimum","Perennial","Forb/herb"
"ALTE","","ALTE","Allium textile","Perennial","Forb/herb"
"ALTO","","ALTO","Allium tolmiei","Perennial","Forb/herb"
"ALTOP","","ALTOP","Allium tolmiei var. persimile","Perennial","Forb/herb"
"ALTOP2","","ALTOP2","Allium tolmiei var. platyphyllum","Perennial","Forb/herb"
"ALTOT","","ALTOT","Allium tolmiei var. tolmiei","Perennial","Forb/herb"
"ALVA","","ALVA","Allium validum","Perennial","Forb/herb"
"ALLOT","","ALLOT","Allotropa","",""
"ALVI2","","ALVI2","Allotropa virgata","Perennial","Forb/herb"
"ALLOW","","ALLOW","Allowissadula","",""
"ALHO4","","ALHO4","Allowissadula holosericea","Perennial","Subshrub, Shrub, Forb/herb"
"ALMUT2","","ALMUT2","Almutaster","",""
"ALPA14","","ALPA14","Almutaster pauciflorus","Perennial","Forb/herb"
"ALNUS","","ALNUS","Alnus","",""
"ALIN2","","ALIN2","Alnus incana","Perennial","Tree, Shrub"
"ALINT","","ALINT","Alnus incana ssp. tenuifolia","Perennial","Tree, Shrub"
"ALOB2","","ALOB2","Alnus oblongifolia","Perennial","Tree"
"ALRH2","","ALRH2","Alnus rhombifolia","Perennial","Tree"
"ALRU2","","ALRU2","Alnus rubra","Perennial","Tree"
"ALVI5","","ALVI5","Alnus viridis","Perennial","Tree, Shrub"
"ALVIS","","ALVIS","Alnus viridis ssp. sinuata","Perennial","Tree, Shrub"
"ALOPE","","ALOPE","Alopecurus","",""
"ALAE","","ALAE","Alopecurus aequalis","Perennial","Graminoid"
"ALAEA","","ALAEA","Alopecurus aequalis var. aequalis","Perennial","Graminoid"
"ALAR","","ALAR","Alopecurus arundinaceus","Perennial","Graminoid"
"ALCA4","","ALCA4","Alopecurus carolinianus","Annual","Graminoid"
"ALGE2","","ALGE2","Alopecurus geniculatus","Perennial","Graminoid"
"ALGEG4","","ALGEG4","Alopecurus geniculatus var. geniculatus","Perennial","Graminoid"
"ALMA8","","ALMA8","Alopecurus magellanicus","Perennial","Graminoid"
"ALMY","","ALMY","Alopecurus myosuroides","Annual","Graminoid"
"ALPR3","","ALPR3","Alopecurus pratensis","Perennial","Graminoid"
"ALSA3","","ALSA3","Alopecurus saccatus","Annual","Graminoid"
"ALOYS","","ALOYS","Aloysia","",""
"ALGR2","","ALGR2","Aloysia gratissima","Perennial","Shrub"
"ALGRG","","ALGRG","Aloysia gratissima var. gratissima","Perennial","Shrub"
"ALWR","","ALWR","Aloysia wrightii","Perennial","Shrub"
"ALTER2","","ALTER2","Alternanthera","",""
"ALCA5","","ALCA5","Alternanthera caracasana","Perennial","Forb/herb"
"ALYSS","","ALYSS","Alyssum","",""
"ALAL3","","ALAL3","Alyssum alyssoides","Annual, Biennial","Forb/herb"
"ALDE","","ALDE","Alyssum desertorum","Annual","Forb/herb"
"ALDED","","ALDED","Alyssum desertorum var. desertorum","Annual","Forb/herb"
"ALSI8","","ALSI8","Alyssum simplex","Annual","Forb/herb"
"AMARA","","AMARA","Amaranthus","",""
"AMAC","","AMAC","Amaranthus acanthochiton","Annual","Forb/herb"
"AMAL","","AMAL","Amaranthus albus","Annual","Forb/herb"
"AMAR","","AMAR","Amaranthus arenicola","Annual","Forb/herb"
"AMBI","","AMBI","Amaranthus bigelovii","Annual","Forb/herb"
"AMBL","","AMBL","Amaranthus blitoides","Annual","Forb/herb"
"AMCA","","AMCA","Amaranthus californicus","Annual","Forb/herb"
"AMCA3","","AMCA3","Amaranthus caudatus","Annual","Forb/herb"
"AMCR","","AMCR","Amaranthus crassipes","Annual","Forb/herb"
"AMCRW","","AMCRW","Amaranthus crassipes var. warnockii","Annual","Forb/herb"
"AMCR4","","AMCR4","Amaranthus cruentus","Annual","Forb/herb"
"AMFI","","AMFI","Amaranthus fimbriatus","Annual","Forb/herb"
"AMHY","","AMHY","Amaranthus hybridus","Annual","Forb/herb"
"AMHY2","","AMHY2","Amaranthus hypochondriacus","Annual","Forb/herb"
"AMOB","","AMOB","Amaranthus obcordatus","Annual","Forb/herb"
"AMPA","","AMPA","Amaranthus palmeri","Annual","Forb/herb"
"AMPO","","AMPO","Amaranthus polygonoides","Annual","Forb/herb"
"AMPO2","","AMPO2","Amaranthus powellii","Annual","Forb/herb"
"AMPOP","","AMPOP","Amaranthus powellii ssp. powellii","Annual","Forb/herb"
"AMRE","","AMRE","Amaranthus retroflexus","Annual","Forb/herb"
"AMTO6","","AMTO6","Amaranthus torreyi","Annual","Forb/herb"
"AMTU","","AMTU","Amaranthus tuberculatus","Annual","Forb/herb"
"AMVI","","AMVI","Amaranthus viridis","Annual","Forb/herb"
"AMWR","","AMWR","Amaranthus wrightii","Annual","Forb/herb"
"AMBRO","","AMBRO","Ambrosia","",""
"AMAC2","","AMAC2","Ambrosia acanthicarpa","Annual","Forb/herb"
"AMAR2","","AMAR2","Ambrosia artemisiifolia","Annual","Forb/herb"
"AMARE","","AMARE","Ambrosia artemisiifolia var. elatior","Annual","Forb/herb"
"AMCO3","","AMCO3","Ambrosia confertiflora","Perennial","Forb/herb"
"AMGR5","","AMGR5","Ambrosia grayi","Perennial","Forb/herb"
"AMPS","","AMPS","Ambrosia psilostachya","Annual, Perennial","Forb/herb"
"AMTO3","","AMTO3","Ambrosia tomentosa","Perennial","Forb/herb"
"AMTR","","AMTR","Ambrosia trifida","Annual","Subshrub, Forb/herb"
"AMTRT","","AMTRT","Ambrosia trifida var. texana","Annual","Subshrub, Forb/herb"
"AMTRT2","","AMTRT2","Ambrosia trifida var. trifida","Annual","Subshrub, Forb/herb"
"AMELA","","AMELA","Amelanchier","",""
"AMAL2","","AMAL2","Amelanchier alnifolia","Perennial","Tree, Shrub"
"AMALA","","AMALA","Amelanchier alnifolia var. alnifolia","Perennial","Tree, Shrub"
"AMALC","","AMALC","Amelanchier alnifolia var. cusickii","Perennial","Tree, Shrub"
"AMPA2","","AMPA2","Amelanchier pallida","Perennial","Tree, Shrub"
"AMPU5","","AMPU5","Amelanchier pumila","Perennial","Shrub"
"AMUT","","AMUT","Amelanchier utahensis","Perennial","Tree, Shrub"
"AMUTU","","AMUTU","Amelanchier utahensis var. utahensis","Perennial","Tree, Shrub"
"AMELA2","","AMELA2","×Amelasorbus","",""
"AMJA","","AMJA","×Amelasorbus jackii","Perennial","Tree, Shrub"
"AMERO","","AMERO","Amerorchis","",""
"AMRO","","AMRO","Amerorchis rotundifolia","Perennial","Forb/herb"
"AMMAN","","AMMAN","Ammannia","",""
"AMAU2","","AMAU2","Ammannia auriculata","Annual","Forb/herb"
"AMCO","","AMCO","Ammannia coccinea","Annual","Forb/herb, Subshrub"
"AMRO3","","AMRO3","Ammannia robusta","Annual","Forb/herb"
"AMMOC","","AMMOC","Ammocodon","",""
"AMCH3","","AMCH3","Ammocodon chenopodioides","Perennial","Forb/herb"
"AMMOS","","AMMOS","Ammoselinum","",""
"AMPO4","","AMPO4","Ammoselinum popei","Annual","Forb/herb"
"AMORE","","AMORE","Amoreuxia","",""
"AMPA3","","AMPA3","Amoreuxia palmatifida","Perennial","Forb/herb"
"AMORP","","AMORP","Amorpha","",""
"AMCA6","","AMCA6","Amorpha canescens","Perennial","Subshrub, Shrub"
"AMFR","","AMFR","Amorpha fruticosa","Perennial","Shrub"
"AMNA","","AMNA","Amorpha nana","Perennial","Subshrub, Shrub"
"AMPHI8","","AMPHI8","Amphiachyris","",""
"AMDR","","AMDR","Amphiachyris dracunculoides","Annual","Forb/herb"
"AMSIN","","AMSIN","Amsinckia","",""
"AMLY","","AMLY","Amsinckia lycopsoides","Annual","Forb/herb"
"AMME","","AMME","Amsinckia menziesii","Annual","Forb/herb"
"AMMEI2","","AMMEI2","Amsinckia menziesii var. intermedia","Annual","Forb/herb"
"AMMEM2","","AMMEM2","Amsinckia menziesii var. menziesii","Annual","Forb/herb"
"AMTE3","","AMTE3","Amsinckia tessellata","Annual","Forb/herb"
