Project,Plot,Line,Point,HAFHeightWoody,HAFSpeciesWoody,HAFHeightHerbaceous,HAFSpeciesHerbaceous,AIMHeightWoody,AIMSpeciesWoody,AIMHeightHerbaceous,AIMSpeciesHerbaceous
Bruneau,BigCM020,1,8.0,62,ARTRV,76,FEID,,,,
Bruneau,BigCM020,1,9.0,,,2,FEID,,,,
Bruneau,BigCM020,1,10.0,,,34,POSE,,,,
Bruneau,BigCM020,1,11.0,7,ARTRV,,,,,,
Bruneau,BigCM020,1,12.0,7,ARTRV,51,FEID,,,,
Bruneau,BigCM020,1,13.0,,,,,,,,
Bruneau,BigCM020,1,14.0,,,33,ELEL5,,,,
Bruneau,BigCM020,1,15.0,,,78,PSSP6,,,,
Bruneau,BigCM020,1,16.0,,,57,PSSP6,,,,
Bruneau,BigCM020,1,17.0,52,CHVI8,,,,,,
Bruneau,BigCM020,1,18.0,,,,,,,,
Bruneau,BigCM020,1,19.0,31,ARTRV,36,FEID,,,,
Bruneau,BigCM020,1,20.0,,,5,PSSP6,,,,
Bruneau,BigCM020,1,21.0,,,46,FEID,,,,
Bruneau,BigCM020,1,22.0,72,ARTRV,,,,,,
Bruneau,BigCM020,1,23.0,65,ARTRV,,,,,,
Bruneau,BigCM020,1,24.0,,,47,POSE,,,,
Bruneau,BigCM020,1,25.0,,,,,,,,
Bruneau,BigCM020,2,1.0,93,PUTR2,65,FEID,,,,
Bruneau,BigCM020,2,2.0,98,PUTR2,62,FEID,,,,
Bruneau,BigCM020,2,3.0,,,74,FEID,,,,
Bruneau,BigCM020,2,4.0,,,57,FEID,,,,
Bruneau,BigCM020,2,5.0,35,ARTRV,64,FEID,,,,
Bruneau,BigCM020,2,6.0,41,PUTR2,56,FEID,,,,
Bruneau,BigCM020,2,7.0,87,ARTRV,,,,,,
Bruneau,BigCM020,2,8.0,,,72,FEID,,,,
Bruneau,BigCM020,2,9.0,13,CHVI8,72,FEID,,,,
Bruneau,BigCM020,2,10.0,82,ARTRV,38,FEID,,,,
Bruneau,BigCM020,2,11.0,58,ARTRV,,,,,,
Bruneau,BigCM020,2,12.0,58,PUTR2,,,,,,
Bruneau,BigCM020,2,13.0,63,PUTR2,,,,,,
Bruneau,BigCM020,2,14.0,,,,,,,,
Bruneau,BigCM020,2,15.0,67,ARTRV,,,,,,
Bruneau,BigCM020,2,16.0,5,ARTRV,17,FEID,,,,
Bruneau,BigCM020,2,17.0,16,ARTRV,,,,,,
Bruneau,BigCM020,2,18.0,65,AMUT,6,FEID,,,,
Bruneau,BigCM020,2,19.0,,,73,FEID,,,,
Bruneau,BigCM020,2,20.0,89,ARTRV,21,FEID,,,,
Bruneau,BigCM020,2,21.0,57,PUTR2,68,FEID,,,,
Bruneau,BigCM020,2,22.0,,,79,FEID,,,,
Bruneau,BigCM020,2,23.0,,,78,FEID,,,,
Bruneau,BigCM020,2,24.0,87,ARTRV,8,PHHO,,,,
Bruneau,BigCM020,2,25.0,,,,,,,,
Bruneau,BigWD055,1,1.0,,,,,,,,
Bruneau,BigWD055,1,2.0,37,ARTRW8,,,,,,
Bruneau,BigWD055,1,3.0,,,,,,,,
Bruneau,BigWD055,1,4.0,,,,,,,,
Bruneau,BigWD055,1,5.0,,,,,,,,
Bruneau,BigWD055,1,6.0,,,,,,,,
Bruneau,BigWD055,1,7.0,,,,,,,,
Bruneau,BigWD055,1,8.0,,,,,,,,
Bruneau,BigWD055,1,9.0,,,,,,,,
Bruneau,BigWD055,1,10.0,,,,,,,,
Bruneau,BigWD055,1,11.0,,,,,,,,
Bruneau,BigWD055,1,12.0,7,ARTRW8,,,,,,
Bruneau,BigWD055,1,13.0,,,,,,,,
Bruneau,BigWD055,1,14.0,,,,,,,,
Bruneau,BigWD055,1,15.0,,,,,,,,
Bruneau,BigWD055,1,16.0,,,,,,,,
Bruneau,BigWD055,1,17.0,,,2,MEOB,,,,
Bruneau,BigWD055,1,18.0,,,,,,,,
Bruneau,BigWD055,1,19.0,,,,,,,,
Bruneau,BigWD055,1,20.0,,,,,,,,
Bruneau,BigWD055,1,21.0,55,ARTRW8,,,,,,
Bruneau,BigWD055,1,22.0,,,,,,,,
Bruneau,BigWD055,1,23.0,,,,,,,,
Bruneau,BigWD055,1,24.0,,,,,,,,
Bruneau,BigWD055,1,25.0,,,,,,,,
Bruneau,BigWD055,2,1.0,,,,,,,,
Bruneau,BigWD055,2,2.0,,,,,,,,
Bruneau,BigWD055,2,3.0,,,,,,,,
Bruneau,BigWD055,2,4.0,,,,,,,,
Bruneau,BigWD055,2,5.0,,,,,,,,
Bruneau,BigWD055,2,6.0,,,37,POSE,,,,
Bruneau,BigWD055,2,7.0,,,,,,,,
Bruneau,BigWD055,2,8.0,16,ARTRW8,35,POSE,,,,
Bruneau,BigWD055,2,9.0,,,,,,,,
Bruneau,BigWD055,2,10.0,52,ARTRW8,,,,,,
Bruneau,BigWD055,2,11.0,,,37,POSE,,,,
Bruneau,BigWD055,2,12.0,,,,,,,,
Bruneau,BigWD055,2,13.0,,,,,,,,
Bruneau,BigWD055,2,14.0,,,,,,,,
Bruneau,BigWD055,2,15.0,,,,,,,,
Bruneau,BigWD055,2,16.0,31,ARTRW8,4,POSE,,,,
Bruneau,BigWD055,2,17.0,,,,,,,,
Bruneau,BigWD055,2,18.0,85,ARTRW8,,,,,,
Bruneau,BigWD055,2,19.0,,,,,,,,
Bruneau,BigWD055,2,20.0,,,,,,,,
Bruneau,BigWD055,2,21.0,,,,,,,,
Bruneau,BigWD055,2,22.0,,,,,,,,
Bruneau,BigWD055,2,23.0,7,ARTRW8,,,,,,
Bruneau,BigWD055,2,24.0,,,,,,,,
Bruneau,BigWD055,2,25.0,,,,,,,,
Bruneau,BigWD055,3,1.0,,,,,,,,
Bruneau,BigWD055,3,2.0,,,,,,,,
Bruneau,BigWD055,3,3.0,,,,,,,,
Bruneau,BigWD055,3,4.0,,,42,POSE,,,,
Bruneau,BigWD055,3,5.0,76,ARTRW8,,,,,,
Bruneau,BigWD055,3,6.0,,,,,,,,
Bruneau,BigWD055,3,7.0,,,,,,,,
Bruneau,BigWD055,3,8.0,,,,,,,,
Bruneau,BigWD055,3,9.0,,,,,,,,
Bruneau,BigWD055,3,10.0,,,,,,,,
Bruneau,BigWD055,3,11.0,,,,,,,,
Bruneau,BigWD055,3,12.0,,,19,POSE,,,,
Bruneau,BigWD055,3,13.0,,,46,POSE,,,,
Bruneau,BigWD055,3,14.0,92,ARTRW8,,,,,,
Bruneau,BigWD055,3,15.0,,,,,,,,
Bruneau,BigWD055,3,16.0,,,,,,,,
Bruneau,BigWD055,3,17.0,,,16,ERSP3,,,,
Bruneau,BigWD055,3,18.0,,,,,,,,
Bruneau,BigWD055,3,19.0,,,2,ERSP3,,,,
Bruneau,BigWD055,3,20.0,,,,,,,,
Bruneau,BigWD055,3,21.0,,,,,,,,
Bruneau,BigWD055,3,22.0,,,,,,,,
Bruneau,BigWD055,3,23.0,,,,,,,,
Bruneau,BigWD055,3,24.0,,,,,,,,
Bruneau,BigWD055,3,25.0,,,,,,,,
Bruneau,LowWD19,1,1.0,,,,,,,,
Bruneau,LowWD19,1,2.0,,,,,,,,
Bruneau,LowWD19,1,3.0,57,ARTRV,,,,,,
Bruneau,LowWD19,1,4.0,,,,,,,,
Bruneau,LowWD19,1,5.0,72,ARTRV,,,,,,
Bruneau,LowWD19,1,6.0,59,ARTRV,,,,,,
Bruneau,LowWD19,1,7.0,,,,,,,,
Bruneau,LowWD19,1,8.0,,,,,,,,
Bruneau,LowWD19,1,9.0,,,9,POSE,,,,
Bruneau,LowWD19,1,10.0,,,,,,,,
Bruneau,LowWD19,1,11.0,,,,,,,,
Bruneau,LowWD19,1,12.0,,,,,,,,
Bruneau,LowWD19,1,13.0,,,6,PSSP6,,,,
Bruneau,LowWD19,1,14.0,5,ARTRV,,,,,,
Bruneau,LowWD19,1,15.0,,,,,,,,
Bruneau,LowWD19,1,16.0,,,,,,,,
Bruneau,LowWD19,1,17.0,,,2,PHDI3,,,,
Bruneau,LowWD19,1,18.0,,,,,,,,
Bruneau,LowWD19,1,19.0,,,6,PSSP6,,,,
Bruneau,LowWD19,1,20.0,,,,,,,,
Bruneau,LowWD19,1,21.0,,,,,,,,
Bruneau,LowWD19,1,22.0,,,45,PSSP6,,,,
Bruneau,LowWD19,1,23.0,,,,,,,,
Bruneau,LowWD19,1,24.0,,,,,,,,
Bruneau,LowWD19,1,25.0,,,,,,,,
Bruneau,LowWD19,2,1.0,,,,,,,,
Bruneau,LowWD19,2,2.0,,,,,,,,
Bruneau,LowWD19,2,3.0,,,,,,,,
Bruneau,LowWD19,2,4.0,,,,,,,,
Bruneau,LowWD19,2,5.0,63,ARTRV,,,,,,
Bruneau,LowWD19,2,6.0,,,,,,,,
Bruneau,LowWD19,2,7.0,,,34,POSE,,,,
Bruneau,LowWD19,2,8.0,,,,,,,,
Bruneau,LowWD19,2,9.0,,,,,,,,
Bruneau,LowWD19,2,10.0,63,ARTRV,,,,,,
Bruneau,LowWD19,2,11.0,,,,,,,,
Bruneau,LowWD19,2,12.0,,,,,,,,
Bruneau,LowWD19,2,13.0,,,,,,,,
Bruneau,LowWD19,2,14.0,,,,,,,,
Bruneau,LowWD19,2,15.0,,,18,POSE,,,,
Bruneau,LowWD19,2,16.0,,,3,POSE,,,,
Bruneau,LowWD19,2,17.0,,,,,,,,
Bruneau,LowWD19,2,18.0,,,,,,,,
Bruneau,LowWD19,2,19.0,,,,,,,,
Bruneau,LowWD19,2,20.0,,,,,,,,
Bruneau,LowWD19,2,21.0,,,,,,,,
Bruneau,LowWD19,2,22.0,,,,,,,,
Bruneau,LowWD19,2,23.0,3,TEGL,,,,,,
Bruneau,LowWD19,2,24.0,,,,,,,,
Bruneau,LowWD19,2,25.0,,,,,,,,
Bruneau,LowWD19,3,1.0,,,,,,,,
Bruneau,LowWD19,3,2.0,,,,,,,,
Bruneau,LowWD19,3,3.0,,,47,PSSP6,,,,
Bruneau,LowWD19,3,4.0,,,6,PSSP6,,,,
Bruneau,LowWD19,3,5.0,,,,,,,,
Bruneau,LowWD19,3,6.0,,,3,POSE,,,,
Bruneau,LowWD19,3,7.0,,,,,,,,
Bruneau,LowWD19,3,8.0,,,,,,,,
Bruneau,LowWD19,3,9.0,,,,,,,,
Bruneau,LowWD19,3,10.0,,,,,,,,
Bruneau,LowWD19,3,11.0,56,ARTRV,,,,,,
Bruneau,LowWD19,3,12.0,,,,,,,,
Bruneau,LowWD19,3,13.0,,,,,,,,
Bruneau,LowWD19,3,14.0,,,,,,,,
Bruneau,LowWD19,3,15.0,,,,,,,,
Bruneau,LowWD19,3,16.0,,,,,,,,
Bruneau,LowWD19,3,17.0,,,,,,,,
Bruneau,LowWD19,3,18.0,,,,,,,,
Bruneau,LowWD19,3,19.0,,,,,,,,
Bruneau,LowWD19,3,20.0,,,,,,,,
Bruneau,LowWD19,3,21.0,77,ARTRV,13,PSSP6,,,,
Bruneau,LowWD19,3,22.0,,,,,,,,
Bruneau,LowWD19,3,23.0,,,,,,,,
Bruneau,LowWD19,3,24.0,,,,,,,,
Bruneau,LowWD19,3,25.0,73,ARTRV,,,,,,
Bruneau,BasinCM001,1,2.5,,,,,24,CHVI8,32,POSE
Bruneau,BasinCM001,1,5.0,,,,,26,CHVI8,2,AGGL
Bruneau,BasinCM001,1,7.5,,,,,48,CHVI8,43,PSSP6
Bruneau,BasinCM001,1,10.0,,,,,7,CHVI8,22,POSE
Bruneau,BasinCM001,1,12.5,,,,,,,28,PSSP6
Bruneau,BasinCM001,1,15.0,,,,,69,ARTRV,3,ELEL5
Bruneau,BasinCM001,1,17.5,,,,,13,CHVI8,12,BRTE
Bruneau,BasinCM001,1,20.0,,,,,51,ARTRV,24,POSE
Bruneau,BasinCM001,1,22.5,,,,,12,CHVI8,16,POSE
Bruneau,BasinCM001,1,25.0,,,,,57,ARTRV,,
Bruneau,BasinCM001,2,2.5,,,,,3,ARTRV,5,EPBR3
Bruneau,BasinCM001,2,5.0,,,,,,,,
Bruneau,BasinCM001,2,7.5,,,,,24,CHVI8,33,POSE
Bruneau,BasinCM001,2,10.0,,,,,39,ARTRV,45,POSE
Bruneau,BasinCM001,2,12.5,,,,,21,CHVI8,9,POSE
Bruneau,BasinCM001,2,15.0,,,,,,,21,POSE
Bruneau,BasinCM001,2,17.5,,,,,76,CHVI8,41,POSE
Bruneau,BasinCM001,2,20.0,,,,,,,41,POSE
Bruneau,BasinCM001,2,22.5,,,,,,,22,POSE
Bruneau,BasinCM001,2,25.0,,,,,38,CHVI8,38,ELEL5
Bruneau,BasinCM001,3,2.5,,,,,5,CHVI8,3,POSE
Bruneau,BasinCM001,3,5.0,,,,,6,CHVI8,17,POSE
Bruneau,BasinCM001,3,7.5,,,,,2,CHVI8,31,POSE
Bruneau,BasinCM001,3,10.0,,,,,26,CHVI8,21,POSE
Bruneau,BasinCM001,3,12.5,,,,,,,13,POSE
Bruneau,BasinCM001,3,15.0,,,,,,,26,POSE
Bruneau,BasinCM001,3,17.5,,,,,21,CHVI8,26,ELEL5
Bruneau,BasinCM001,3,20.0,,,,,8,CHVI8,18,POSE
Bruneau,BasinCM001,3,22.5,,,,,13,CHVI8,11,POSE
Bruneau,BasinCM001,3,25.0,,,,,4,CHVI8,28,POSE
Bruneau,BasinCM002,1,2.5,,,,,,,4,POSE
Bruneau,BasinCM002,1,5.0,,,,,,,43,ELEL5
Bruneau,BasinCM002,1,7.5,,,,,,,29,ELEL5
Bruneau,BasinCM002,1,10.0,,,,,25,PPSH,4,ELEL5
Bruneau,BasinCM002,1,12.5,,,,,,,45,PSSP6
Bruneau,BasinCM002,1,15.0,,,,,,,36,POSE
Bruneau,BasinCM002,1,17.5,,,,,16,PPSH,57,PSSP6
Bruneau,BasinCM002,1,20.0,,,,,,,38,ELEL5
Bruneau,BasinCM002,1,22.5,,,,,2,PPSH,28,POSE
Bruneau,BasinCM002,1,25.0,,,,,,,41,ELEL5
Bruneau,BasinCM002,2,2.5,,,,,,,44,POSE
Bruneau,BasinCM002,2,5.0,,,,,,,47,PSSP6
Bruneau,BasinCM002,2,7.5,,,,,,,59,PSSP6
Bruneau,BasinCM002,2,10.0,,,,,,,65,PSSP6
Bruneau,BasinCM002,2,12.5,,,,,,,41,POSE
Bruneau,BasinCM002,2,15.0,,,,,,,65,PSSP6
Bruneau,BasinCM002,2,17.5,,,,,,,47,POSE
Bruneau,BasinCM002,2,20.0,,,,,,,38,POSE
Bruneau,BasinCM002,2,22.5,,,,,,,3,PPGG
Bruneau,BasinCM002,2,25.0,,,,,,,54,PSSP6
Bruneau,BasinCM002,3,2.5,,,,,46,ARTRV,33,ELEL5
Bruneau,BasinCM002,3,5.0,,,,,32,ARARL,48,POSE
Bruneau,BasinCM002,3,7.5,,,,,,,29,POSE
Bruneau,BasinCM002,3,10.0,,,,,,,3,POSE
Bruneau,BasinCM002,3,12.5,,,,,37,ARARL,37,POSE
Bruneau,BasinCM002,3,15.0,,,,,2,ARARL,26,ELEL5
Bruneau,BasinCM002,3,17.5,,,,,31,ARARL,31,POSE
Bruneau,BasinCM002,3,20.0,,,,,27,ARARL,42,POSE
Bruneau,BasinCM002,3,22.5,,,,,,,26,ELEL5
Bruneau,BasinCM002,3,25.0,,,,,18,ARARL,29,POSE
Bruneau,BasinCM003,1,2.5,,,,,,,4,POSE
Bruneau,BasinCM003,1,5.0,,,,,,,5,FEID
Bruneau,BasinCM003,1,7.5,,,,,,,,
Bruneau,BasinCM003,1,10.0,,,,,4,ARTRW8,41,LUPINPF
Bruneau,BasinCM003,1,12.5,,,,,28,ARTRW8,65,FEID
Bruneau,BasinCM003,1,15.0,,,,,,,54,FEID
Bruneau,BasinCM003,1,17.5,,,,,,,48,FEID
Bruneau,BasinCM003,1,20.0,,,,,,,28,FEID
Bruneau,BasinCM003,1,22.5,,,,,17,ARTRW8,52,FEID
Bruneau,BasinCM003,1,25.0,,,,,,,57,FEID
Bruneau,BasinCM003,2,2.5,,,,,43,ARTRW8,61,FEID
Bruneau,BasinCM003,2,5.0,,,,,77,ARTRW8,64,FEID
Bruneau,BasinCM003,2,7.5,,,,,92,ARTRW8,77,FEID
Bruneau,BasinCM003,2,10.0,,,,,,,55,PSSP6
Bruneau,BasinCM003,2,12.5,,,,,,,17,FEID
Bruneau,BasinCM003,2,15.0,,,,,59,ERNA1,58,FEID
Bruneau,BasinCM003,2,17.5,,,,,61,ARTRW8,52,POSE
Bruneau,BasinCM003,2,20.0,,,,,,,48,FEID
Bruneau,BasinCM003,2,22.5,,,,,31,CHVI8,46,FEID
Bruneau,BasinCM003,2,25.0,,,,,,,9,POSE
Bruneau,BasinCM003,3,2.5,,,,,56,ARTRW8,23,POSE
Bruneau,BasinCM003,3,5.0,,,,,,,65,PSSP6
Bruneau,BasinCM003,3,7.5,,,,,,,27,POSE
Bruneau,BasinCM003,3,10.0,,,,,28,ERNA1,22,EPBR3
Bruneau,BasinCM003,3,12.5,,,,,,,51,FEID
Bruneau,BasinCM003,3,15.0,,,,,78,ARTRW8,82,FEID
Bruneau,BasinCM003,3,17.5,,,,,64,ARTRW8,51,FEID
Bruneau,BasinCM003,3,20.0,,,,,,,36,POSE
Bruneau,BasinCM003,3,22.5,,,,,,,72,FEID
Bruneau,BasinCM003,3,25.0,,,,,,,56,FEID
Bruneau,BasinCM004,1,2.5,,,,,43,ARTRW8,7,PSSP6
Bruneau,BasinCM004,1,5.0,,,,,34,ARTRW8,35,ELEL5
Bruneau,BasinCM004,1,7.5,,,,,5,ARTRW8,8,ERPU2
Bruneau,BasinCM004,1,10.0,,,,,,,48,BRTE
Bruneau,BasinCM004,1,12.5,,,,,38,ARTRW8,49,ELEL5
Bruneau,BasinCM004,1,15.0,,,,,,,42,BRTE
Bruneau,BasinCM004,1,17.5,,,,,77,ARTRW8,41,POSE
Bruneau,BasinCM004,1,20.0,,,,,52,ARTRW8,18,POSE
Bruneau,BasinCM004,1,22.5,,,,,,,14,SPCR
Bruneau,BasinCM004,1,25.0,,,,,,,2,ERPU2
Bruneau,BasinCM004,2,2.5,,,,,,,22,ELEL5
Bruneau,BasinCM004,2,5.0,,,,,82,ARTRW8,38,POSE
Bruneau,BasinCM004,2,7.5,,,,,,,39,BRTE
Bruneau,BasinCM004,2,10.0,,,,,,,41,BRTE
Bruneau,BasinCM004,2,12.5,,,,,,,35,BRTE
Bruneau,BasinCM004,2,15.0,,,,,,,43,BRTE
Bruneau,BasinCM004,2,17.5,,,,,67,ARTRW8,71,BRTE
Bruneau,BasinCM004,2,20.0,,,,,56,ARTRW8,5,BRTE
Bruneau,BasinCM004,2,22.5,,,,,,,61,PSSP6
Bruneau,BasinCM004,2,25.0,,,,,87,ARTRT,39,BRTE
Bruneau,BasinCM004,3,2.5,,,,,74,ARTRW8,43,BRTE
Bruneau,BasinCM004,3,5.0,,,,,,,5,PSSP6
Bruneau,BasinCM004,3,7.5,,,,,,,32,PSSP6
Bruneau,BasinCM004,3,10.0,,,,,,,18,POSE
Bruneau,BasinCM004,3,12.5,,,,,,,13,ERPU2
Bruneau,BasinCM004,3,15.0,,,,,67,ARTRW8,21,ELEL5
Bruneau,BasinCM004,3,17.5,,,,,76,ARTRW8,24,POSE
Bruneau,BasinCM004,3,20.0,,,,,47,ARTRW8,3,POSE
Bruneau,BasinCM004,3,22.5,,,,,,,36,POSE
Bruneau,BasinCM004,3,25.0,,,,,7,ARTRW8,4,BRTE
Bruneau,BasinCM005,1,2.5,,,,,35,CHVI8,67,FEID
Bruneau,BasinCM005,1,5.0,,,,,,,26,FEID
Bruneau,BasinCM005,1,7.5,,,,,,,37,POSE
Bruneau,BasinCM005,1,10.0,,,,,,,35,FEID
Bruneau,BasinCM005,1,12.5,,,,,,,6,PSSP6
Bruneau,BasinCM005,1,15.0,,,,,47,CHVI8,52,FEID
Bruneau,BasinCM005,1,17.5,,,,,34,CHVI8,59,FEID
Bruneau,BasinCM005,1,20.0,,,,,34,CHVI8,68,PSSP6
Bruneau,BasinCM005,1,22.5,,,,,14,ARTRW8,5,FEID
Bruneau,BasinCM005,1,25.0,,,,,,,49,FEID
Bruneau,BasinCM005,2,2.5,,,,,,,35,FEID
Bruneau,BasinCM005,2,5.0,,,,,,,51,FEID
Bruneau,BasinCM005,2,7.5,,,,,52,ARTRW8,52,FEID
Bruneau,BasinCM005,2,10.0,,,,,,,61,PSSP6
Bruneau,BasinCM005,2,12.5,,,,,,,24,POSE
Bruneau,BasinCM005,2,15.0,,,,,,,32,POSE
Bruneau,BasinCM005,2,17.5,,,,,,,59,FEID
Bruneau,BasinCM005,2,20.0,,,,,,,66,FEID
Bruneau,BasinCM005,2,22.5,,,,,,,65,FEID
Bruneau,BasinCM005,2,25.0,,,,,,,46,FEID
Bruneau,BasinCM005,3,2.5,,,,,22,CHVI8,53,PSSP6
Bruneau,BasinCM005,3,5.0,,,,,,,59,FEID
Bruneau,BasinCM005,3,7.5,,,,,,,77,PSSP6
Bruneau,BasinCM005,3,10.0,,,,,,,7,FEID
Bruneau,BasinCM005,3,12.5,,,,,45,CHVI8,62,FEID
Bruneau,BasinCM005,3,15.0,,,,,,,27,BRTE
Bruneau,BasinCM005,3,17.5,,,,,24,CHVI8,36,POSE
Bruneau,BasinCM005,3,20.0,,,,,,,54,PSSP6
Bruneau,BasinCM005,3,22.5,,,,,,,59,FEID
Bruneau,BasinCM005,3,25.0,,,,,,,66,FEID
Bruneau,BigCM014,1,2.5,,,,,,,19,FEID
Bruneau,BigCM014,1,5.0,,,,,27,ARAR8,36,FEID
Bruneau,BigCM014,1,7.5,,,,,48,ARNO4,19,POSE
Bruneau,BigCM014,1,10.0,,,,,24,ARNO4,23,FEID
Bruneau,BigCM014,1,12.5,,,,,17,ARAR8,14,FEID
Bruneau,BigCM014,1,15.0,,,,,,,,
Bruneau,BigCM014,1,17.5,,,,,,,,
Bruneau,BigCM014,1,20.0,,,,,,,,
Bruneau,BigCM014,1,22.5,,,,,45,SYALL,58,PSSP6
Bruneau,BigCM014,1,25.0,,,,,13,ARNO4,49,PSSP6
Bruneau,BigCM014,2,2.5,,,,,37,ARNO4,3,FEID
Bruneau,BigCM014,2,5.0,,,,,27,ARAR8,1,POSE
Bruneau,BigCM014,2,7.5,,,,,36,ARAR8,55,FEID
Bruneau,BigCM014,2,10.0,,,,,51,ARNO4,49,FEID
Bruneau,BigCM014,2,12.5,,,,,2,ARAR8,38,FEID
Bruneau,BigCM014,2,15.0,,,,,12,ARAR8,38,FEID
Bruneau,BigCM014,2,17.5,,,,,29,ARAR8,65,FEID
Bruneau,BigCM014,2,20.0,,,,,37,ARAR8,5,FEID
Bruneau,BigCM014,2,22.5,,,,,29,ARAR8,49,PSSP6
Bruneau,BigCM014,2,25.0,,,,,27,ARAR8,6,FEID
Bruneau,BigCM014,3,2.5,,,,,8,ARNO4,57,PSSP6
Bruneau,BigCM014,3,5.0,,,,,42,ARNO4,56,FEID
Bruneau,BigCM014,3,7.5,,,,,34,ARNO4,58,PSSP6
Bruneau,BigCM014,3,10.0,,,,,42,ARNO4,32,FEID
Bruneau,BigCM014,3,12.5,,,,,4,ARNO4,6,PSSP6
Bruneau,BigCM014,3,15.0,,,,,23,ARTRV,48,PSSP6
Bruneau,BigCM014,3,17.5,,,,,48,ARNO4,6,PSSP6
Bruneau,BigCM014,3,20.0,,,,,53,ARNO4,18,FEID
Bruneau,BigCM014,3,22.5,,,,,16,ARNO4,69,PSSP6
Bruneau,BigCM014,3,25.0,,,,,18,ARNO4,48,PSSP6
Bruneau,BigCM015,1,2.5,,,,,38,ARTRV,26,FEID
Bruneau,BigCM015,1,5.0,,,,,52,ARTRV,33,FEID
Bruneau,BigCM015,1,7.5,,,,,,,3,FEID
Bruneau,BigCM015,1,10.0,,,,,,,37,KOMA
Bruneau,BigCM015,1,12.5,,,,,,,39,FEID
Bruneau,BigCM015,1,15.0,,,,,71,ARTRV,32,FEID
Bruneau,BigCM015,1,17.5,,,,,,,31,FEID
Bruneau,BigCM015,1,20.0,,,,,82,ARTRV,3,FEID
Bruneau,BigCM015,1,22.5,,,,,61,ARTRV,2,FEID
Bruneau,BigCM015,1,25.0,,,,,,,45,FEID
Bruneau,BigCM015,2,2.5,,,,,,,45,POSE
Bruneau,BigCM015,2,5.0,,,,,,,41,FEID
Bruneau,BigCM015,2,7.5,,,,,,,3,FEID
Bruneau,BigCM015,2,10.0,,,,,,,1,CAREX
Bruneau,BigCM015,2,12.5,,,,,63,ARTRV,4,FEID
Bruneau,BigCM015,2,15.0,,,,,58,ARTRV,15,FEID
Bruneau,BigCM015,2,17.5,,,,,,,43,FEID
Bruneau,BigCM015,2,20.0,,,,,4,ARTRV,8,LUPINPF
Bruneau,BigCM015,2,22.5,,,,,2,ARTRV,34,FEID
Bruneau,BigCM015,2,25.0,,,,,4,ARTRV,43,FEID
Bruneau,BigCM015,3,2.5,,,,,,,46,FEID
Bruneau,BigCM015,3,5.0,,,,,,,54,FEID
Bruneau,BigCM015,3,7.5,,,,,33,ARTRV,14,CAREX
Bruneau,BigCM015,3,10.0,,,,,46,ARTRV,5,FEID
Bruneau,BigCM015,3,12.5,,,,,,,42,FEID
Bruneau,BigCM015,3,15.0,,,,,62,ARTRV,37,FEID
Bruneau,BigCM015,3,17.5,,,,,3,PPSH,36,FEID
Bruneau,BigCM015,3,20.0,,,,,,,29,FEID
Bruneau,BigCM015,3,22.5,,,,,,,43,FEID
Bruneau,BigCM015,3,25.0,,,,,,,4,FEID
Bruneau,BigCM016,1,2.5,,,,,,,23,POSE
Bruneau,BigCM016,1,5.0,,,,,15,JUOC,87,FEID
Bruneau,BigCM016,1,7.5,,,,,,,47,PSSP6
Bruneau,BigCM016,1,10.0,,,,,,,39,PSSP6
Bruneau,BigCM016,1,12.5,,,,,,,19,PSSP6
Bruneau,BigCM016,1,15.0,,,,,26,JUOC,15,POSE
Bruneau,BigCM016,1,17.5,,,,,4,JUOC,,
Bruneau,BigCM016,1,20.0,,,,,,,,
Bruneau,BigCM016,1,22.5,,,,,,,3,ARABI2AF
Bruneau,BigCM016,1,25.0,,,,,,,14,PPGG
Bruneau,BigCM016,2,2.5,,,,,14,JUOC,,
Bruneau,BigCM016,2,5.0,,,,,,,23,PSSP6
Bruneau,BigCM016,2,7.5,,,,,,,,
Bruneau,BigCM016,2,10.0,,,,,16,HODI,7,PSSP6
Bruneau,BigCM016,2,12.5,,,,,,,14,PSSP6
Bruneau,BigCM016,2,15.0,,,,,41,JUOC,47,FEID
Bruneau,BigCM016,2,17.5,,,,,61,JUOC,37,POSE
Bruneau,BigCM016,2,20.0,,,,,,,6,ELEL5
Bruneau,BigCM016,2,22.5,,,,,,,,
Bruneau,BigCM016,2,25.0,,,,,,,17,ERIGE2PF
Bruneau,BigCM016,3,2.5,,,,,,,31,POSE
Bruneau,BigCM016,3,5.0,,,,,,,,
Bruneau,BigCM016,3,7.5,,,,,,,19,POSE
Bruneau,BigCM016,3,10.0,,,,,,,16,POSE
Bruneau,BigCM016,3,12.5,,,,,,,,
Bruneau,BigCM016,3,15.0,,,,,,,49,POSE
Bruneau,BigCM016,3,17.5,,,,,135,JUOC,37,POSE
Bruneau,BigCM016,3,20.0,,,,,72,ARTRV,48,PSSP6
Bruneau,BigCM016,3,22.5,,,,,,,67,PSSP6
Bruneau,BigCM016,3,25.0,,,,,,,75,FEID
Bruneau,BigCM017,1,2.5,,,,,1,PUTR2,17,FEID
Bruneau,BigCM017,1,5.0,,,,,16,PUTR2,5,FEID
Bruneau,BigCM017,1,7.5,,,,,54,PUTR2,49,FEID
Bruneau,BigCM017,1,10.0,,,,,9,PUTR2,21,FEID
Bruneau,BigCM017,1,12.5,,,,,,,3,FEID
