Project,Plot,Line,Point,HAFHeightWoody,HAFSpeciesWoody,HAFHeightHerbaceous,HAFSpeciesHerbaceous,AIMHeightWoody,AIMSpeciesWoody,AIMHeightHerbaceous,AIMSpeciesHerbaceous
Bruneau,BasinCM002,1,15.0,,,,,,,,
Bruneau,BasinCM002,1,16.0,13,ARARL2,16,ELEL5,,,,
Bruneau,BasinCM002,1,17.0,19,ARARL2,3,ELEL5,,,,
Bruneau,BasinCM002,1,18.0,,,,,,,,
Bruneau,BasinCM002,1,19.0,,,,,,,,
Bruneau,BasinCM002,1,20.0,,,,,,,,
Bruneau,BasinCM002,1,21.0,,,43,POSE,,,,
Bruneau,BasinCM002,1,22.0,,,,,,,,
Bruneau,BasinCM002,1,23.0,,,,,,,,
Bruneau,BasinCM002,1,24.0,22,ARARL2,,,,,,
Bruneau,BasinCM002,1,25.0,21,ARARL2,,,,,,
Bruneau,BasinCM002,2,1.0,,,43,POSE,,,,
Bruneau,BasinCM002,2,2.0,,,,,,,,
Bruneau,BasinCM002,2,3.0,,,39,ELEL5,,,,
Bruneau,BasinCM002,2,4.0,,,,,,,,
Bruneau,BasinCM002,2,5.0,,,42,ELEL5,,,,
Bruneau,BasinCM002,2,6.0,,,41,POSE,,,,
Bruneau,BasinCM002,2,7.0,,,,,,,,
Bruneau,BasinCM002,2,8.0,,,38,POSE,,,,
Bruneau,BasinCM002,2,9.0,,,,,,,,
Bruneau,BasinCM002,2,10.0,,,,,,,,
Bruneau,BasinCM002,2,11.0,,,38,POSE,,,,
Bruneau,BasinCM002,2,12.0,,,,,,,,
Bruneau,BasinCM002,2,13.0,,,17,ELEL5,,,,
Bruneau,BasinCM002,2,14.0,,,58,PSSP6,,,,
Bruneau,BasinCM002,2,15.0,,,6,POSE,,,,
Bruneau,BasinCM002,2,16.0,,,,,,,,
Bruneau,BasinCM002,2,17.0,,,,,,,,
Bruneau,BasinCM002,2,18.0,,,28,ELEL5,,,,
Bruneau,BasinCM002,2,19.0,,,23,POSE,,,,
Bruneau,BasinCM002,2,20.0,,,22,ELEL5,,,,
Bruneau,BasinCM002,2,21.0,,,,,,,,
Bruneau,BasinCM002,2,22.0,,,32,POSE,,,,
Bruneau,BasinCM002,2,23.0,,,41,POSE,,,,
Bruneau,BasinCM002,2,24.0,,,,,,,,
Bruneau,BasinCM002,2,25.0,,,,,,,,
Bruneau,BasinCM002,3,1.0,,,19,ELEL5,,,,
Bruneau,BasinCM002,3,2.0,,,,,,,,
Bruneau,BasinCM002,3,3.0,,,93,POSE,,,,
Bruneau,BasinCM002,3,4.0,,,71,PSSP6,,,,
Bruneau,BasinCM002,3,5.0,,,59,PSSP6,,,,
Bruneau,BasinCM002,3,6.0,,,48,POSE,,,,
Bruneau,BasinCM002,3,7.0,,,,,,,,
Bruneau,BasinCM002,3,8.0,,,74,PSSP6,,,,
Bruneau,BasinCM002,3,9.0,,,,,,,,
Bruneau,BasinCM002,3,10.0,,,7,PSSP6,,,,
Bruneau,BasinCM002,3,11.0,,,,,,,,
Bruneau,BasinCM002,3,12.0,,,,,,,,
Bruneau,BasinCM002,3,13.0,,,,,,,,
Bruneau,BasinCM002,3,14.0,,,48,POSE,,,,
Bruneau,BasinCM002,3,15.0,,,,,,,,
Bruneau,BasinCM002,3,16.0,,,45,POSE,,,,
Bruneau,BasinCM002,3,17.0,,,,,,,,
Bruneau,BasinCM002,3,18.0,,,,,,,,
Bruneau,BasinCM002,3,19.0,,,,,,,,
Bruneau,BasinCM002,3,20.0,,,42,POSE,,,,
Bruneau,BasinCM002,3,21.0,,,39,POSE,,,,
Bruneau,BasinCM002,3,22.0,,,22,POSE,,,,
Bruneau,BasinCM002,3,23.0,,,,,,,,
Bruneau,BasinCM002,3,24.0,,,,,,,,
Bruneau,BasinCM002,3,25.0,,,47,POSE,,,,
Bruneau,BasinCM003,1,1.0,,,7,FEID,,,,
Bruneau,BasinCM003,1,2.0,65,ARTRW8,64,FEID,,,,
Bruneau,BasinCM003,1,3.0,,,41,FEID,,,,
Bruneau,BasinCM003,1,4.0,39,ARTRW8,,,,,,
Bruneau,BasinCM003,1,5.0,,,,,,,,
Bruneau,BasinCM003,1,6.0,,,52,POSE,,,,
Bruneau,BasinCM003,1,7.0,,,,,,,,
Bruneau,BasinCM003,1,8.0,,,,,,,,
Bruneau,BasinCM003,1,9.0,,,,,,,,
Bruneau,BasinCM003,1,10.0,,,,,,,,
Bruneau,BasinCM003,1,11.0,,,18,POSE,,,,
Bruneau,BasinCM003,1,12.0,,,53,FEID,,,,
Bruneau,BasinCM003,1,13.0,,,,,,,,
Bruneau,BasinCM003,1,14.0,,,45,FEID,,,,
Bruneau,BasinCM003,1,15.0,,,54,FEID,,,,
Bruneau,BasinCM003,1,16.0,,,44,FEID,,,,
Bruneau,BasinCM003,1,17.0,77,ARTRW8,34,FEID,,,,
Bruneau,BasinCM003,1,18.0,,,,,,,,
Bruneau,BasinCM003,1,19.0,,,52,FEID,,,,
Bruneau,BasinCM003,1,20.0,,,,,,,,
Bruneau,BasinCM003,1,21.0,,,,,,,,
Bruneau,BasinCM003,1,22.0,,,68,FEID,,,,
Bruneau,BasinCM003,1,23.0,,,,,,,,
Bruneau,BasinCM003,1,24.0,,,,,,,,
Bruneau,BasinCM003,1,25.0,,,,,,,,
Bruneau,BasinCM003,2,1.0,95,ARTRW8,48,POSE,,,,
Bruneau,BasinCM003,2,2.0,,,71,FEID,,,,
Bruneau,BasinCM003,2,3.0,,,51,FEID,,,,
Bruneau,BasinCM003,2,4.0,74,ARTRW8,63,FEID,,,,
Bruneau,BasinCM003,2,5.0,,,87,FEID,,,,
Bruneau,BasinCM003,2,6.0,,,,,,,,
Bruneau,BasinCM003,2,7.0,,,,,,,,
Bruneau,BasinCM003,2,8.0,,,,,,,,
Bruneau,BasinCM003,2,9.0,,,,,,,,
Bruneau,BasinCM003,2,10.0,,,,,,,,
Bruneau,BasinCM003,2,11.0,,,8,FEID,,,,
Bruneau,BasinCM003,2,12.0,,,42,FEID,,,,
Bruneau,BasinCM003,2,13.0,,,,,,,,
Bruneau,BasinCM003,2,14.0,,,,,,,,
Bruneau,BasinCM003,2,15.0,23,CHVI8,64,FEID,,,,
Bruneau,BasinCM003,2,16.0,,,,,,,,
Bruneau,BasinCM003,2,17.0,,,64,FEID,,,,
Bruneau,BasinCM003,2,18.0,,,,,,,,
Bruneau,BasinCM003,2,19.0,24,ARTRW8,,,,,,
Bruneau,BasinCM003,2,20.0,,,48,FEID,,,,
Bruneau,BasinCM003,2,21.0,,,,,,,,
Bruneau,BasinCM003,2,22.0,,,54,FEID,,,,
Bruneau,BasinCM003,2,23.0,,,,,,,,
Bruneau,BasinCM003,2,24.0,,,,,,,,
Bruneau,BasinCM003,2,25.0,,,,,,,,
Bruneau,BasinCM003,3,1.0,,,,,,,,
Bruneau,BasinCM003,3,2.0,,,21,POSE,,,,
Bruneau,BasinCM003,3,3.0,95,ARTRW8,,,,,,
Bruneau,BasinCM003,3,4.0,,,,,,,,
Bruneau,BasinCM003,3,5.0,,,,,,,,
Bruneau,BasinCM003,3,6.0,,,52,FEID,,,,
Bruneau,BasinCM003,3,7.0,,,,,,,,
Bruneau,BasinCM003,3,8.0,,,,,,,,
Bruneau,BasinCM003,3,9.0,5,ARTRW8,32,FEID,,,,
Bruneau,BasinCM003,3,10.0,,,,,,,,
Bruneau,BasinCM003,3,11.0,93,ARTRW8,43,FEID,,,,
Bruneau,BasinCM003,3,12.0,28,CHVI8,,,,,,
Bruneau,BasinCM003,3,13.0,36,CHVI8,47,POSE,,,,
Bruneau,BasinCM003,3,14.0,,,,,,,,
Bruneau,BasinCM003,3,15.0,64,ERNA1,23,FEID,,,,
Bruneau,BasinCM003,3,16.0,54,ARTRW8,12,POSE,,,,
Bruneau,BasinCM003,3,17.0,34,CHVI8,47,FEID,,,,
Bruneau,BasinCM003,3,18.0,,,,,,,,
Bruneau,BasinCM003,3,19.0,,,,,,,,
Bruneau,BasinCM003,3,20.0,,,,,,,,
Bruneau,BasinCM003,3,21.0,,,34,FEID,,,,
Bruneau,BasinCM003,3,22.0,,,32,FEID,,,,
Bruneau,BasinCM003,3,23.0,,,49,FEID,,,,
Bruneau,BasinCM003,3,24.0,44,CHVI8,52,ELEL5,,,,
Bruneau,BasinCM003,3,25.0,,,,,,,,
Bruneau,BasinCM004,1,1.0,,,,,,,,
Bruneau,BasinCM004,1,2.0,,,,,,,,
Bruneau,BasinCM004,1,3.0,,,,,,,,
Bruneau,BasinCM004,1,4.0,,,,,,,,
Bruneau,BasinCM004,1,5.0,,,,,,,,
Bruneau,BasinCM004,1,6.0,,,13,POSE,,,,
Bruneau,BasinCM004,1,7.0,,,,,,,,
Bruneau,BasinCM004,1,8.0,,,,,,,,
Bruneau,BasinCM004,1,9.0,59,ARTRW8,,,,,,
Bruneau,BasinCM004,1,10.0,,,44,ELEL5,,,,
Bruneau,BasinCM004,1,11.0,,,,,,,,
Bruneau,BasinCM004,1,12.0,,,,,,,,
Bruneau,BasinCM004,1,13.0,,,,,,,,
Bruneau,BasinCM004,1,14.0,,,,,,,,
Bruneau,BasinCM004,1,15.0,,,3,ELEL5,,,,
Bruneau,BasinCM004,1,16.0,,,,,,,,
Bruneau,BasinCM004,1,17.0,,,,,,,,
Bruneau,BasinCM004,1,18.0,,,,,,,,
Bruneau,BasinCM004,1,19.0,,,16,ERPU2,,,,
Bruneau,BasinCM004,1,20.0,,,,,,,,
Bruneau,BasinCM004,1,21.0,,,,,,,,
Bruneau,BasinCM004,1,22.0,,,,,,,,
